what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.project.cleanAction",1269536214444
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269536228348
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269536238330
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1269536238346
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269536249141
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269536266153
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269536268965
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269536270840
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.project.cleanAction",1269536270856
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269536271121
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269536272715
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269536274542
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269536275589
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269536275777
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ant",1269536285681
stopped,bundle,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui",1269536285697
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1269536285697
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1269536285697
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.ui",1269536285712
stopped,bundle,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit",1269536285712
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1269536285712
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1269536285712
stopped,bundle,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui",1269536285822
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1269536285822
stopped,bundle,org.eclipse.mylyn.ide.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ui",1269536285822
