what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1269535714049
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269535715625
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269535734410
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1269535734410
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1269535740604
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1269535744239
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269535747766
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269535813561
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1269535813577
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1269535817462
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269535820754
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269535828977
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1269535829133
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1269535833782
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1269535835499
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1269535846966
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1269535846998
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1269535848324
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1269535848339
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269535850945
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269535902745
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269535904321
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269535914518
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269535914675
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1269535916096
